,result,table,_start,_stop,_time,_value,_field,_measurement,fw_version,kex_algo,node,phase
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T03:01:20.53078609Z,153,hs_resp_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T04:01:19.211363086Z,153,hs_resp_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T05:01:20.786581423Z,153,hs_resp_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T06:01:22.649908041Z,153,hs_resp_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T07:01:23.292344779Z,153,hs_resp_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T08:01:24.609201529Z,153,hs_resp_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T09:01:25.274592451Z,153,hs_resp_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T10:01:26.47115684Z,153,hs_resp_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T11:01:27.509044419Z,153,hs_resp_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T12:01:28.640907508Z,153,hs_resp_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T13:01:30.0193298Z,153,hs_resp_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T14:01:31.318593746Z,153,hs_resp_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T15:01:32.552097893Z,153,hs_resp_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T16:01:35.824340793Z,153,hs_resp_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T17:01:36.519804787Z,153,hs_resp_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T18:01:37.114322311Z,153,hs_resp_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
